order,site_id,plot_id,complete_id,legacy,age,bulk_core,bulk_fine,bulk_hyb
1,AGR10,HIGH01,AGR10-HIGH01,agriculture,135,1.3531,1.3652,1.3531
2,AGR10,HIGH02,AGR10-HIGH02,agriculture,135,1.2369,1.2866,1.2369
3,AGR10,HIGH04,AGR10-HIGH04,agriculture,135,1.2551,1.2635,1.2551
4,AGR10,MED01,AGR10-MED01,agriculture,135,1.2213,1.3644,1.2213
5,AGR10,MED02,AGR10-MED02,agriculture,135,1.2604,1.3036,1.2604
6,AGR10,MED03,AGR10-MED03,agriculture,135,1.3171,1.3259,1.3171
7,AGR11,HIGH04,AGR11-HIGH04,agriculture,30,1.3762,1.3762,1.3762
8,AGR11,HIGH06,AGR11-HIGH06,agriculture,30,0.9323,0.9319,0.9319
9,AGR11,HIGH07,AGR11-HIGH07,agriculture,30,0.9624,0.9602,0.9602
10,AGR11,LOW02,AGR11-LOW02,agriculture,30,1.2499,1.2499,1.2499
11,AGR11,LOW03,AGR11-LOW03,agriculture,30,1.0493,1.1106,1.0493
12,AGR11,LOW04,AGR11-LOW04,agriculture,30,0.6972,0.7467,0.6972
13,AGR11,MED01,AGR11-MED01,agriculture,30,1.1772,1.1903,1.1772
14,AGR11,MED02,AGR11-MED02,agriculture,30,1.2215,1.2283,1.2215
15,AGR11,MED04,AGR11-MED04,agriculture,30,1.3339,1.3339,1.3339
16,AGR1,HIGH01,AGR1-HIGH01,agriculture,95,1.3934,1.4727,1.3914
17,AGR1,HIGH03,AGR1-HIGH03,agriculture,95,0.9756,1.0967,0.9756
18,AGR1,HIGH04,AGR1-HIGH04,agriculture,95,1.4216,1.4787,1.4216
19,AGR1,LOW01,AGR1-LOW01,agriculture,95,1.2181,1.7631,1.2181
20,AGR1,LOW02,AGR1-LOW02,agriculture,95,1.1234,1.2031,1.1234
21,AGR1,LOW04,AGR1-LOW04,agriculture,95,0.9976,0.9976,0.9976
22,AGR1,MED01,AGR1-MED01,agriculture,95,1.4419,1.5261,1.4419
23,AGR1,MED02,AGR1-MED02,agriculture,95,1.3137,1.4153,1.3137
24,AGR1,MED06,AGR1-MED06,agriculture,95,1.3422,1.5277,1.3422
25,AGR2,HIGH02,AGR2-HIGH02,agriculture,37,0.9763,1.0048,0.9715
26,AGR2,HIGH03,AGR2-HIGH03,agriculture,37,1.0298,1.0298,1.0298
27,AGR2,HIGH05,AGR2-HIGH05,agriculture,37,0.9771,1.0342,0.9771
28,AGR2,LOW03,AGR2-LOW03,agriculture,37,0.966,1.3044,0.966
29,AGR2,LOW04,AGR2-LOW04,agriculture,37,0.8788,1.336,0.8788
30,AGR2,LOW05,AGR2-LOW05,agriculture,37,0.9993,1.0961,0.9993
31,AGR2,MED02,AGR2-MED02,agriculture,37,1.5227,1.5227,1.5227
32,AGR2,MED04,AGR2-MED04,agriculture,37,1.6204,1.6222,1.6204
33,AGR2,MED05,AGR2-MED05,agriculture,37,0.9561,0.9799,0.9258
34,AGR4,HIGH03,AGR4-HIGH03,agriculture,35,1.2028,1.2028,1.2028
35,AGR4,HIGH05,AGR4-HIGH05,agriculture,35,0.9839,0.9699,0.9699
36,AGR4,HIGH06,AGR4-HIGH06,agriculture,35,0.9088,1.0344,0.9088
37,AGR4,LOW01,AGR4-LOW01,agriculture,35,0.632,1.0886,0.632
