order,site_id,plot_id,complete_id,legacy,As_conc,Cr_conc,Cu_conc,Ni_conc,Pb_conc,Zn_conc
1,FOR1,HIGH01,FOR1-HIGH01,forested,8,159,42,40,56,154
2,FOR1,HIGH03,FOR1-HIGH03,forested,10,304,45,54,75,164
3,FOR1,HIGH04,FOR1-HIGH04,forested,9,189,44,42,72,158
4,FOR1,LOW01,FOR1-LOW01,forested,8,251,49,49,137,192
5,FOR1,LOW02,FOR1-LOW02,forested,4,197,28,48,50,107
6,FOR1,LOW05,FOR1-LOW05,forested,3,195,27,45,37,104
7,FOR1,MED01,FOR1-MED01,forested,3,350,29,35,42,118
8,FOR1,MED02,FOR1-MED02,forested,7,296,35,36,59,165
9,FOR1,MED05,FOR1-MED05,forested,6,292,34,39,39,113
10,FOR2,HIGH01,FOR2-HIGH01,forested,5,217,24,32,39,123
11,FOR2,HIGH03,FOR2-HIGH03,forested,2,210,16,22,33,67
12,FOR2,HIGH06,FOR2-HIGH06,forested,8,223,31,58,40,109
13,FOR2,LOW01,FOR2-LOW01,forested,6,251,32,44,37,105
14,FOR2,LOW02,FOR2-LOW02,forested,9,144,35,51,27,105
15,FOR2,LOW04,FOR2-LOW04,forested,14,269,32,45,27,108
16,FOR2,MED01,FOR2-MED01,forested,9,256,29,37,23,89
17,FOR2,MED03,FOR2-MED03,forested,5,222,32,36,59,117
18,FOR2,MED04,FOR2-MED04,forested,8,184,23,44,28,86
19,FOR3,HIGH01,FOR3-HIGH01,forested,7,159,26,53,68,152
20,FOR3,HIGH03,FOR3-HIGH03,forested,7,208,35,38,47,132
21,FOR3,HIGH06,FOR3-HIGH06,forested,8,223,36,37,44,124
22,FOR3,LOW03,FOR3-LOW03,forested,6,190,32,51,35,126
23,FOR3,LOW04,FOR3-LOW04,forested,7,208,37,40,38,125
24,FOR3,LOW05,FOR3-LOW05,forested,7,191,33,49,40,118
25,FOR3,MED03,FOR3-MED03,forested,5,124,39,44,42,107
26,FOR3,MED04,FOR3-MED04,forested,5,148,31,36,41,109
27,FOR3,MED05,FOR3-MED05,forested,9,214,34,37,54,92
28,FOR4,HIGH02,FOR4-HIGH02,forested,2,16,31,22,84,149
29,FOR4,HIGH03,FOR4-HIGH03,forested,8,228,50,49,109,175
30,FOR4,HIGH04,FOR4-HIGH04,forested,7,166,81,43,76,180
31,FOR4,LOW01,FOR4-LOW01,forested,4,342,58,46,125,169
32,FOR4,LOW02,FOR4-LOW02,forested,10,337,75,59,143,180
33,FOR4,LOW04,FOR4-LOW04,forested,9,329,110,47,222,281
34,FOR4,MED01,FOR4-MED01,forested,7,270,53,47,85,122
35,FOR4,MED02,FOR4-MED02,forested,8,187,34,51,61,123
36,FOR4,MED05,FOR4-MED05,forested,11,158,37,50,40,122
37,FOR5,HIGH02,FOR5-HIGH02,forested,14,215,37,54,34,107
38,FOR5,HIGH03,FOR5-HIGH03,forested,11,212,24,45,30,109
39,FOR5,HIGH05,FOR5-HIGH05,forested,12,177,39,57,44,80
40,FOR5,LOW01,FOR5-LOW01,forested,15,243,28,44,38,124
41,FOR5,LOW02,FOR5-LOW02,forested,7,127,26,41,31,94
42,FOR5,MED01,FOR5-MED01,forested,20,211,35,63,35,90
43,FOR5,MED02,FOR5-MED02,forested,9,165,40,84,30,105
44,FOR5,MED04,FOR5-MED04,forested,20,174,34,49,41,96
45,FOR6,HIGH01,FOR6-HIGH01,forested,17,322,60,36,111,353
46,FOR6,HIGH02,FOR6-HIGH02,forested,7,161,47,50,40,133
47,FOR6,HIGH03,FOR6-HIGH03,forested,5,182,29,49,25,109
48,FOR6,LOW02,FOR6-LOW02,forested,2,145,26,40,20,98
49,FOR6,LOW03,FOR6-LOW03,forested,2,167,29,47,18,85
50,FOR6,LOW05,FOR6-LOW05,forested,4,219,25,40,21,100
51,FOR6,MED01,FOR6-MED01,forested,5,224,31,42,31,108
52,FOR6,MED03,FOR6-MED03,forested,8,285,37,49,41,114
53,FOR6,MED05,FOR6-MED05,forested,8,243,34,61,37,134
54,FOR8,HIGH02,FOR8-HIGH02,forested,13,231,45,48,102,168
55,FOR8,HIGH03,FOR8-HIGH03,forested,10,228,54,52,105,174
56,FOR8,HIGH04,FOR8-HIGH04,forested,12,235,56,54,228,175
57,FOR8,LOW02,FOR8-LOW02,forested,9,166,39,48,104,123
58,FOR8,LOW03,FOR8-LOW03,forested,9,161,44,52,109,192
59,FOR8,MED01,FOR8-MED01,forested,8,203,38,42,75,122
60,FOR8,MED02,FOR8-MED02,forested,16,195,35,45,53,166
61,FOR8,MED03,FOR8-MED03,forested,3,170,23,34,35,84
62,FOR9,HIGH01,FOR9-HIGH01,forested,5,142,18,42,25,119
63,FOR9,HIGH02,FOR9-HIGH02,forested,4,164,13,30,25,82
64,FOR9,HIGH03,FOR9-HIGH03,forested,1,162,88,36,40,102
65,FOR9,LOW01,FOR9-LOW01,forested,5,218,23,34,38,105
66,FOR9,LOW02,FOR9-LOW02,forested,7,124,38,58,24,169
67,FOR9,LOW04,FOR9-LOW04,forested,9,228,27,47,42,96
68,FOR9,MED01,FOR9-MED01,forested,4,144,37,46,36,91
69,FOR9,MED02,FOR9-MED02,forested,5,149,26,41,25,68
70,FOR9,MED03,FOR9-MED03,forested,6,420,21,35,35,74
71,FOR10,HIGH02,FOR10-HIGH02,forested,5,149,23,38,127,108
72,FOR10,HIGH04,FOR10-HIGH04,forested,0,185,26,41,160,121
73,FOR10,HIGH05,FOR10-HIGH05,forested,4,125,29,42,125,112
74,FOR10,MED01,FOR10-MED01,forested,5,160,29,40,77,110
75,FOR10,MED03,FOR10-MED03,forested,5,182,31,36,46,137
76,FOR10,MED05,FOR10-MED05,forested,4,121,28,42,129,132
77,FOR11,HIGH01,FOR11-HIGH01,forested,11,239,78,53,71,170
78,FOR11,HIGH02,FOR11-HIGH02,forested,10,250,79,47,74,163
79,FOR11,HIGH06,FOR11-HIGH06,forested,9,311,85,54,69,156
80,FOR11,LOW01,FOR11-LOW01,forested,5,168,40,50,25,89
81,FOR11,LOW04,FOR11-LOW04,forested,6,162,68,58,43,126
82,FOR11,LOW06,FOR11-LOW06,forested,9,262,66,55,94,199
83,FOR11,MED03,FOR11-MED03,forested,11,225,100,54,76,172
84,FOR11,MED04,FOR11-MED04,forested,8,315,50,39,41,130
85,FOR11,MED05,FOR11-MED05,forested,6,287,53,43,45,112
86,AGR1,HIGH01,AGR1-HIGH01,agricultural,9,348,56,48,101,187
87,AGR1,HIGH03,AGR1-HIGH03,agricultural,7,310,42,42,54,147
88,AGR1,HIGH04,AGR1-HIGH04,agricultural,3,321,30,34,36,99
89,AGR1,LOW01,AGR1-LOW01,agricultural,7,270,35,49,37,123
90,AGR1,LOW02,AGR1-LOW02,agricultural,10,207,40,41,55,142
91,AGR1,LOW04,AGR1-LOW04,agricultural,9,294,39,48,59,154
92,AGR1,MED01,AGR1-MED01,agricultural,7,286,45,42,35,142
93,AGR1,MED02,AGR1-MED02,agricultural,6,215,38,43,54,143
94,AGR1,MED06,AGR1-MED06,agricultural,5,348,30,35,35,110
95,AGR2,HIGH02,AGR2-HIGH02,agricultural,15,163,38,51,37,93
96,AGR2,HIGH03,AGR2-HIGH03,agricultural,9,186,31,45,34,102
97,AGR2,HIGH05,AGR2-HIGH05,agricultural,15,231,35,52,29,86
98,AGR2,LOW03,AGR2-LOW03,agricultural,8,224,30,47,25,92
99,AGR2,LOW04,AGR2-LOW04,agricultural,5,172,25,48,20,68
100,AGR2,LOW05,AGR2-LOW05,agricultural,8,137,31,52,26,102
101,AGR2,MED02,AGR2-MED02,agricultural,8,85,32,45,23,145
102,AGR2,MED04,AGR2-MED04,agricultural,7,180,26,39,25,122
103,AGR2,MED05,AGR2-MED05,agricultural,12,210,36,53,30,109
104,AGR4,HIGH03,AGR4-HIGH03,agricultural,6,121,32,56,28,136
105,AGR4,HIGH05,AGR4-HIGH05,agricultural,5,132,21,44,24,117
106,AGR4,HIGH06,AGR4-HIGH06,agricultural,14,230,28,38,32,84
107,AGR4,LOW01,AGR4-LOW01,agricultural,6,102,37,38,53,166
108,AGR4,LOW02,AGR4-LOW02,agricultural,4,107,24,44,26,140
109,AGR4,LOW05,AGR4-LOW05,agricultural,2,113,24,40,25,121
110,AGR4,MED02,AGR4-MED02,agricultural,9,84,21,36,40,127
111,AGR4,MED05,AGR4-MED05,agricultural,6,232,34,101,26,118
112,AGR4,MED06,AGR4-MED06,agricultural,7,121,32,57,23,133
113,AGR5,HIGH03,AGR5-HIGH03,agricultural,8,151,40,40,107,125
114,AGR5,HIGH05,AGR5-HIGH05,agricultural,6,163,43,42,36,120
115,AGR5,HIGH06,AGR5-HIGH06,agricultural,8,156,57,56,142,156
116,AGR5,LOW03,AGR5-LOW03,agricultural,8,1508,46,222,94,205
117,AGR5,LOW04,AGR5-LOW04,agricultural,7,173,27,33,37,139
118,AGR5,LOW06,AGR5-LOW06,agricultural,10,104,35,37,111,115
119,AGR5,MED01,AGR5-MED01,agricultural,6,207,44,52,38,130
120,AGR5,MED04,AGR5-MED04,agricultural,11,158,42,43,87,152
