order,site_id,plot_id,complete_id,legacy,age,bulk_hyb,carb,nitro,C_den,N_den
1,AGR10,HIGH01,AGR10-HIGH01,agriculture,135,1.3531,6.758087724,0.540478199,13.71655275,1.096981577
2,AGR10,HIGH02,AGR10-HIGH02,agriculture,135,1.2369,7.281712603,0.552425339,13.51012548,1.024942353
3,AGR10,HIGH04,AGR10-HIGH04,agriculture,135,1.2551,8.628117587,0.557657716,16.24372558,1.049874299
4,AGR10,MED01,AGR10-MED01,agriculture,135,1.2213,11.02298955,0.516690787,20.19356571,0.946551687
5,AGR10,MED02,AGR10-MED02,agriculture,135,1.2604,12.62981492,0.743953932,23.87792809,1.406519304
6,AGR10,MED03,AGR10-MED03,agriculture,135,1.3171,12.22201464,0.582468275,24.14642322,1.150753448
7,AGR11,HIGH04,AGR11-HIGH04,agriculture,30,1.3762,0,0.146961658,0,0.303372951
8,AGR11,HIGH06,AGR11-HIGH06,agriculture,30,0.9319,0,0.275014267,0,0.384428693
9,AGR11,HIGH07,AGR11-HIGH07,agriculture,30,0.9602,0,0.407033259,0,0.586250003
10,AGR11,LOW02,AGR11-LOW02,agriculture,30,1.2499,0,0.215355124,0,0.403758554
11,AGR11,LOW03,AGR11-LOW03,agriculture,30,1.0493,0.623974943,0.306771969,0.982105362,0.482843741
12,AGR11,LOW04,AGR11-LOW04,agriculture,30,0.6972,2.359655403,0.407420602,2.46772762,0.426080466
13,AGR11,MED01,AGR11-MED01,agriculture,30,1.1772,0,0.281269729,0,0.496666087
14,AGR11,MED02,AGR11-MED02,agriculture,30,1.2215,0,0.237032655,0,0.434303082
15,AGR11,MED04,AGR11-MED04,agriculture,30,1.3339,0,0.19252948,0,0.38522261
16,AGR1,HIGH01,AGR1-HIGH01,agriculture,95,1.3914,2.042087731,0.282271528,4.262041303,0.589128906
17,AGR1,HIGH03,AGR1-HIGH03,agriculture,95,0.9756,3.505184782,0.261657058,5.12948741,0.382908939
18,AGR1,HIGH04,AGR1-HIGH04,agriculture,95,1.4216,0.925239341,0.313644065,1.972980371,0.668814604
19,AGR1,LOW01,AGR1-LOW01,agriculture,95,1.2181,0,0.37236855,0,0.680373196
20,AGR1,LOW02,AGR1-LOW02,agriculture,95,1.1234,1.838234438,0.377105639,3.097608851,0.635460712
21,AGR1,LOW04,AGR1-LOW04,agriculture,95,0.9976,2.727197822,0.314046032,4.080978821,0.469938482
22,AGR1,MED01,AGR1-MED01,agriculture,95,1.4419,0,0.295325739,0,0.638745275
23,AGR1,MED02,AGR1-MED02,agriculture,95,1.3137,0,0.259809168,0,0.511966956
24,AGR1,MED06,AGR1-MED06,agriculture,95,1.3422,0,0.303626596,0,0.611291426
25,AGR2,HIGH02,AGR2-HIGH02,agriculture,37,0.9715,0,0.176041517,0,0.256536501
26,AGR2,HIGH03,AGR2-HIGH03,agriculture,37,1.0298,0.516559452,0.269193416,0.797929386,0.41582307
27,AGR2,HIGH05,AGR2-HIGH05,agriculture,37,0.9771,0,0.203433051,0,0.298161651
28,AGR2,LOW03,AGR2-LOW03,agriculture,37,0.966,0,0.261744972,0,0.379268464
29,AGR2,LOW04,AGR2-LOW04,agriculture,37,0.8788,0,0.23760384,0,0.313209382
30,AGR2,LOW05,AGR2-LOW05,agriculture,37,0.9993,0,0.134623142,0,0.201793359
31,AGR2,MED02,AGR2-MED02,agriculture,37,1.5227,0,0.144111184,0,0.32915715
32,AGR2,MED04,AGR2-MED04,agriculture,37,1.6204,0,0.245667707,0,0.597119929
33,AGR2,MED05,AGR2-MED05,agriculture,37,0.9258,0,0.260698469,0,0.362031964
