order,site_id,plot_id,complete_id,legacy,worm_abund,worm_wei,soil_moist,soil_ph,soil_temp,soil_bulk,Cu_conc,Zn_conc,mean_palat,carb,nitro,biomass
1,AGR10,MED01,AGR10-MED01,agricultural,7,2.34,23.6,5.73,24.92,1.2213,81,288,2.125,11.02298955,0.516690787,0.037386667
2,AGR10,MED02,AGR10-MED02,agricultural,12,3.13,23.73,5.9,25.65,1.2604,80,313,3.833,12.62981492,0.743953932,0.05008
3,AGR10,MED03,AGR10-MED03,agricultural,8,3.55,22.37,5.8,26.88,1.3171,90,276,3.2,12.22201464,0.582468275,0.056853333
4,AGR1,MED01,AGR1-MED01,agricultural,7,1.83,25.8,7,19.3,1.4419,45,142,3.767,0,0.295325739,0.029226667
5,AGR1,MED02,AGR1-MED02,agricultural,3,0.18,27.17,6.8,20.98,1.3137,38,143,4,0,0.259809168,0.00288
6,AGR1,MED06,AGR1-MED06,agricultural,7,0.2,25.53,6.37,19.82,1.3422,30,110,3.571,0,0.303626596,0.003253333
7,AGR6,MED02,AGR6-MED02,agricultural,2,0.32,21.9,5.77,24.73,1.2232,30,124,3,2.044058842,0.254658093,0.005066667
8,AGR6,MED03,AGR6-MED03,agricultural,15,1.64,22.9,5.47,24.95,1.2872,48,194,3,7.298923426,0.480130337,0.026293333
9,AGR6,MED05,AGR6-MED05,agricultural,18,1.59,39,5.13,26.12,1.1064,77,265,2.5,16.55461424,0.954615186,0.025386667
10,AGR8,MED02,AGR8-MED02,agricultural,12,2.92,28.57,5.97,23.38,1.0548,82,245,3.483,6.048562436,0.591783403,0.046666667
11,AGR8,MED04,AGR8-MED04,agricultural,27,4.25,24.43,6.4,20.53,0.7682,40,144,2,1.806806995,0.308802395,0.068053333
12,AGR8,MED05,AGR8-MED05,agricultural,23,4.95,26.2,5.87,21,0.9876,38,118,1,2.537247874,0.39750338,0.0792
13,AGR9,MED05,AGR9-MED05,agricultural,24,2.85,24.5,5.77,23.32,1.0495,24,86,3.571,1.472503629,0.306680444,0.0456
14,AGR9,MED06,AGR9-MED06,agricultural,19,4.17,35.8,6.2,21.55,1.1827,23,83,3.444,1.227062976,0.21934354,0.066666667
15,AGR9,MED07,AGR9-MED07,agricultural,16,2.43,23.9,5.73,21.93,1.1048,35,106,3.5,0,0.246330063,0.038826667
16,FOR11,MED03,FOR11-MED03,forested,1,0.1,27.37,6.13,21.38,0.6751,100,172,3.875,1.836617855,0.303089385,0.0016
17,FOR11,MED04,FOR11-MED04,forested,55,4.43,35.3,6.07,20.32,1.2839,50,130,3.778,0,0.234101359,0.070826667
18,FOR11,MED05,FOR11-MED05,forested,9,2.79,27.2,7.1,19.57,1.4725,53,112,2.5,0,0.188735044,0.044586667
19,FOR1,MED01,FOR1-MED01,forested,13,2.43,24.6,6.43,19.13,0.7286,29,118,3.294,0.270219208,0.334030533,0.038826667
20,FOR1,MED02,FOR1-MED02,forested,18,2.18,17.23,6.53,19.63,0.6965,35,165,3.077,0,0.255426594,0.034826667
21,FOR1,MED05,FOR1-MED05,forested,8,1.78,28.43,6.53,18.72,1.3148,34,113,3.667,0.25389684,0.160564535,0.02848
22,FOR4,MED01,FOR4-MED01,forested,7,1.39,16.23,6.53,23.92,0.971,53,122,3.043,5.534680012,0.381358982,0.02224
23,FOR4,MED02,FOR4-MED02,forested,35,4.86,22.87,6.73,23.32,0.9013,34,123,3.108,0,0.286164065,0.077706667
24,FOR4,MED05,FOR4-MED05,forested,36,4.07,28.5,6.83,22.78,1.0592,37,122,2.952,0,0.30622868,0.065173333
25,FOR6,MED01,FOR6-MED01,forested,24,4.69,20.33,6.17,22.22,1.1369,31,108,4,0,0.204073446,0.07504
26,FOR6,MED03,FOR6-MED03,forested,40,4.52,24.57,6.2,22.58,1.1219,37,114,4,0,0.231258328,0.072373333
27,FOR6,MED05,FOR6-MED05,forested,43,6.75,27.57,6.07,22.12,1.3579,34,134,4,1.005992472,0.211011188,0.108053333
28,FOR8,MED01,FOR8-MED01,forested,10,0.71,21.3,5.73,26.07,1.2039,38,122,2.75,0,0.179426585,0.01136
29,FOR8,MED02,FOR8-MED02,forested,4,2.56,17.03,6.57,21.48,1.385,35,166,2.111,0,0.169202164,0.040906667
30,FOR8,MED03,FOR8-MED03,forested,1,0.52,13.33,6.1,22.87,1.3043,23,84,2.167,0,0.21948828,0.008266667
31,IND11,MED04,IND11-MED04,industrial,4,0.87,35.2,6.57,23.18,0.7777,45,179,3,4.243174439,0.268684818,0.013866667
