complete_id,legacy,species,sp_code,eco_group
AGR6-MED02,agricultural,Lumbricus rubellus,LuRu,epi-endo
AGR6-MED02,agricultural,Lumbricus rubellus,LuRu,epi-endo
AGR6-MED05,agricultural,Lumbricus rubellus,LuRu,epi-endo
AGR8-MED02,agricultural,Lumbricus terrestris,LuTe,anecic
AGR8-MED02,agricultural,Lumbricus terrestris,LuTe,anecic
AGR8-MED04,agricultural,Lumbricus terrestris,LuTe,anecic
AGR8-MED04,agricultural,Lumbricus terrestris,LuTe,anecic
AGR8-MED05,agricultural,Lumbricus terrestris,LuTe,anecic
AGR8-MED05,agricultural,Lumbricus terrestris,LuTe,anecic
AGR8-MED05,agricultural,Lumbricus terrestris,LuTe,anecic
AGR9-MED06,agricultural,Lumbricus terrestris,LuTe,anecic
AGR10-MED01,agricultural,Lumbricus terrestris,LuTe,anecic
AGR10-MED02,agricultural,Lumbricus terrestris,LuTe,anecic
AGR10-MED03,agricultural,Lumbricus terrestris,LuTe,anecic
AGR10-MED03,agricultural,Lumbricus terrestris,LuTe,anecic
AGR10-MED03,agricultural,Lumbricus terrestris,LuTe,anecic
FOR1-MED01,forested,Lumbricus terrestris,LuTe,anecic
FOR1-MED02,forested,Lumbricus terrestris,LuTe,anecic
FOR1-MED02,forested,Lumbricus castaneus,LuCa,epigeic
FOR1-MED02,forested,Lumbricus castaneus,LuCa,epigeic
FOR1-MED02,forested,Aporrectodea longa,ApLo,endo-anecic
FOR1-MED02,forested,Aporrectodea rosea,ApRo,endogeic
FOR1-MED02,forested,Aporrectodea rosea,ApRo,endogeic
FOR4-MED02,forested,Aporrectodea rosea,ApRo,endogeic
FOR4-MED02,forested,Lumbricus terrestris,LuTe,anecic
FOR6-MED03,forested,Lumbricus terrestris,LuTe,anecic
FOR6-MED01,forested,Lumbricus terrestris,LuTe,anecic
FOR6-MED01,forested,Lumbricus terrestris,LuTe,anecic
FOR6-MED05,forested,Lumbricus terrestris,LuTe,anecic
FOR8-MED02,forested,Lumbricus terrestris,LuTe,anecic
FOR11-MED04,forested,Aporrectodea rosea,ApRo,endogeic
FOR11-MED04,forested,Aporrectodea tuberculata,ApTu,endogeic
FOR11-MED05,forested,Lumbricus terrestris,LuTe,anecic
IND5-MED04,industrial,Aporrectodea rosea,ApRo,endogeic
IND6-MED02,industrial,Lumbricus terrestris,LuTe,anecic
IND7-MED04,industrial,Lumbricus rubellus,LuRu,epi-endo
IND7-MED04,industrial,Lumbricus rubellus,LuRu,epi-endo
IND7-MED05,industrial,Lumbricus terrestris,LuTe,anecic
IND7-MED05,industrial,Lumbricus terrestris,LuTe,anecic
IND11-MED05,industrial,Lumbricus terrestris,LuTe,anecic
IND11-MED05,industrial,Lumbricus terrestris,LuTe,anecic
IND11-MED05,industrial,Aporrectodea rosea,ApRo,endogeic
IND11-MED05,industrial,Aporrectodea longa,ApLo,endo-anecic
IND11-MED05,industrial,Lumbricus terrestris,LuTe,anecic
IND11-MED06,industrial,Aporrectodea tuberculata,ApTu,endogeic
IND13-MED02,industrial,Lumbricus terrestris,LuTe,anecic
IND13-MED02,industrial,Lumbricus terrestris,LuTe,anecic
IND13-MED02,industrial,Aporrectodea tuberculata,ApTu,endogeic
IND13-MED04,industrial,Aporrectodea rosea,ApRo,endogeic
